"employees","salaries_2017","salary_adjustments","salaries_2018","raise"
"Employee 1",47858.279235661,-2108.27145376243,45750.0077818986,FALSE
"Employee 2",47870.4239800572,1207.98448915593,49078.4084692132,TRUE
"Employee 3",41769.0790211782,6850.67192884162,48619.7509500198,TRUE
"Employee 4",45901.8646134064,-1060.44493964873,44841.4196737576,FALSE
"Employee 5",47165.7177363522,-3863.31042391248,43302.4073124398,FALSE
"Employee 6",46357.257522177,9851.79557814263,56209.0531003196,TRUE
"Employee 7",46456.3026512042,6332.18294358812,52788.4855947923,TRUE
"Employee 8",42641.0639146343,529.829566366971,43170.8934810013,TRUE
"Employee 9",48911.0754197463,8962.05912693404,57873.1345466804,TRUE
"Employee 10",42946.2146549486,3320.93234872445,46267.147003673,TRUE
"Employee 11",46720.0422706082,8856.34279577062,55576.3850663789,TRUE
"Employee 12",48839.6835932508,-2303.65119292401,46536.0324003268,FALSE
"Employee 13",41618.6356544495,-4013.45249731094,37605.1831571385,FALSE
"Employee 14",49435.5449359864,5463.80791231059,54899.352848297,TRUE
"Employee 15",46348.2350995764,-2970.01466038637,43378.22043919,FALSE
"Employee 16",46056.4704868011,-1386.51191839017,44669.9585684109,FALSE
"Employee 17",41355.0269068219,-181.839177384973,41173.1877294369,FALSE
"Employee 18",40935.1444151253,-4869.05882018618,36066.0855949391,FALSE
"Employee 19",46281.8912998773,181.680753594264,46463.5720534716,TRUE
"Employee 20",42929.2458831333,-3449.81423695572,39479.4316461775,FALSE
"Employee 21",40611.8948850781,-3258.55224742554,37353.3426376525,FALSE
"Employee 22",40059.5930963755,3005.41380653158,43065.006902907,TRUE
"Employee 23",48590.2866208926,4709.82223981991,53300.1088607125,TRUE
"Employee 24",40636.1867394298,8984.54306530766,49620.7298047375,TRUE
"Employee 25",48912.8926605918,5587.33669226058,54500.2293528523,TRUE
"Employee 26",49438.0496512167,8319.95210144669,57758.0017526634,TRUE
"Employee 27",46058.3507828414,4618.40663687326,50676.7574197147,TRUE
"Employee 28",48011.8962773122,9029.81319348328,57041.7094707955,TRUE
"Employee 29",42364.1414940357,-1261.39088766649,41102.7506063692,FALSE
"Employee 30",41788.6898876168,6659.76940770634,48448.4592953231,TRUE
"Employee 31",49912.9150365479,1617.59944981895,51530.5144863669,TRUE
"Employee 32",45298.8504641689,5996.54162768275,51295.3920918517,TRUE
"Employee 33",41731.5445584245,2427.47932323255,44159.023881657,TRUE
"Employee 34",45666.7801178992,1487.9675861448,47154.747704044,TRUE
"Employee 35",47035.3123778477,2971.31460742094,50006.6269852687,TRUE
"Employee 36",40866.1602926441,4062.22629710101,44928.3865897451,TRUE
"Employee 37",40776.4503150247,2897.37889776006,43673.8292127848,TRUE
"Employee 38",41181.3211790286,-2738.88371535577,38442.4374636728,FALSE
"Employee 39",45594.7969527915,4657.29527291842,50252.0922257099,TRUE
"Employee 40",48181.8560720421,2036.56806610525,50218.4241381474,TRUE
"Employee 41",49564.3423590809,6247.99542245455,55812.3377815355,TRUE
"Employee 42",45078.84896826,6651.55617636628,51730.4051446263,TRUE
"Employee 43",47317.3625697382,5064.60663164034,52381.9692013785,TRUE
"Employee 44",47412.7354100347,-888.162617338821,46524.5727926958,FALSE
"Employee 45",47780.5678965524,2367.24732676521,50147.8152233176,TRUE
"Employee 46",47907.1045434102,95.910495147109,48003.0150385574,TRUE
"Employee 47",44629.6616340987,3336.12081129104,47965.7824453898,TRUE
